id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,YouthA,A/N,65/60,approximate/approximate,m/m,2000-09-26,certain,conversation,na,all,English,medium,punctual,1256,no
T005,QuestA,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,medium,punctual,619,no
T011,Duus,J,23,certain,m,2000-11-23,certain,traditional narrative,na,all,English,good,punctual,730,no
T012,FuanUu,J,23,certain,m,2000-11-29,certain,traditional narrative,na,all,English,good,punctual,949,no
T013,Goesem,J,23,certain,m,2000-11-29,certain,traditional narrative,na,all,English,good,punctual,619,no
T015,Musu,J,23,certain,m,2000-11-29,certain,traditional narrative,na,all,English,medium,punctual,249,no
T016,Naan,J,23,certain,m,2000-12-01,certain,traditional narrative,na,all,English,good,punctual,929,no
T017,Kur,A,65,approximate,m,1999,approximate,traditional narrative,na,all,English,good,punctual,1114,no
T020,La,D,51,certain,m,1999,approximate,traditional narrative,na,all,English,medium,punctual,929,no
T021,Ligya,D,51,certain,m,1999-02-12,certain,traditional narrative,na,all,English,medium,punctual,976,no
T023,MatWo,D,51,certain,m,1999-02-04,certain,traditional narrative,na,all,English,medium,constant,970,no
T002,c00ANyouth2,N/A,60/65,approximate/approximate,m/m,2000-09-26,certain,conversation,na,all,English,medium,punctual,843,yes
T003,c00ANyouth3,N/A,60/65,approximate/approximate,m/m,2000-09-26,certain,conversation,na,all,English,medium,punctual,1751,yes
T004,c00ANyouth4,N/A,60/65,approximate/approximate,m/m,2000-09-26,certain,conversation,na,all,English,medium,punctual,2128,yes
T006,c00JMquest2,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,good,punctual,577,yes
T007,c00JMquest3,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,good,punctual,817,yes
T008,c00JMquest4,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,good,punctual,1103,yes
T009,c00JMquest5,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,good,punctual,904,yes
T010,c00JMquest6,J/M,23/17,certain/certain,m/m,2000-11-01,certain,conversation,na,all,English,good,punctual,691,yes
T014,f00Jkabal,J,23,certain,m,2000-11-29,certain,traditional narrative,na,all,English,good,none,361,yes
T018,f99Angoegan,A,65,approximate,m,1999,approximate,traditional narrative,na,all,English,medium,punctual,683,yes
T019,f99Atyaklang,A,65,approximate,m,1999,approximate,traditional narrative,na,all,English,medium,constant,556,yes
T022,f99Dliit,D,51,certain,m,1999-02-10,certain,traditional narrative,na,all,English,good,punctual,1413,yes
T024,f99Dpaap,D,51,certain,m,1999-02-09,certain,traditional narrative,na,all,English,good,punctual,553,yes
T025,f99Dreep,D,51,certain,m,1999-02-08,certain,traditional narrative,na,all,English,medium,punctual,1226,yes
T026,f99Dshoom,D,51,certain,m,1999-01-13,certain,traditional narrative,na,all,English,good,punctual,518,yes
T027,f99Ogoelong,O,60,approximate,f,1999,approximate,traditional narrative,na,all,English,good,none,1840,yes
