id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T001,NB041016-01_A,B,70,approximate,f,2004-10-16,certain,traditional narrative,na,all,English/Afrikaans,good,punctual,1017,no
T002,NB041016-04_A,B,70,approximate,f,2004-10-16,certain,traditional narrative,na,all,English/Afrikaans,good,punctual,667,no
T003,NC071107-01_A,C,72,approximate,f,2007-11-07,certain,personal narrative,na,all,English/Afrikaans,medium,punctual,376,no
T004,NC090930-01_A,C,72,approximate,f,2009-09-30,certain,stimulus retelling,pear story,all,English/Afrikaans,good,none,351,no
T005,ND060719-01aA,D,70,approximate,f,2006-07-19,certain,personal narrative,na,all,English/Afrikaans,medium,constant,285,no
T006,NE060715-02aA,E,65,approximate,f,2006-07-15,certain,personal narrative,na,all,English/Afrikaans,good,punctual,531,no
T007,NE080825-01_A,E,65,approximate,f,2008-08-25,certain,personal narrative,na,all,English/Afrikaans,good,constant,268,no
T008,NE091006-01_A,E,65,approximate,f,2009-10-06,certain,stimulus retelling,pear story,all,English/Afrikaans,good,punctual,408,no
T009,NF071017-02_A,F,75,approximate,f,2007-10-17,certain,traditional narrative,na,all,English/Afrikaans,good,constant,831,no
T010,NF080903-01_A,F,75,approximate,f,2008-09-03,certain,traditional narrative,na,all,English/Afrikaans,medium,punctual,392,no
T011,NF091001-01_A,F,75,approximate,f,2009-10-01,certain,stimulus retelling,pear story,all,English/Afrikaans,good,none,138,no
T012,NG060718-02aA,G,73,approximate,f,2006-07-18,certain,traditional narrative,na,all,English/Afrikaans,medium,none,1027,no
T013,NG060718-02cA,G,73,approximate,f,2006-07-18,certain,traditional narrative,na,all,English/Afrikaans,medium,constant,509,no
T014,NG071114-01_A,G,73,approximate,f,2007-11-14,certain,traditional narrative,na,all,English/Afrikaans,medium,punctual,970,no
T015,NG071119-01_A,G,73,approximate,f,2007-11-19,certain,personal narrative,na,all,English/Afrikaans,medium,punctual,460,no
T016,NG091103-01_A,G,73,approximate,f,2009-11-03,certain,traditional narrative,na,all,English/Afrikaans,medium,none,474,no
T017,NM080903-01bE,C/F,72/75,approximate,f/f,2008-09-03,certain,conversation,na,all,English/Afrikaans,medium,punctual,1579,no
T018,NB041016-05_A,B,70,approximate,f,2004-10-16,certain,traditional narrative,na,all,English/Afrikaans,medium,punctual,1156,yes
T019,NB041016-08_A,B,70,approximate,f,2004-10-16,certain,traditional narrative,na,all,English/Afrikaans,good,punctual,703,yes
T020,NB081007-01_A,B,70,approximate,f,2008-10-07,certain,personal narrative,na,all,English/Afrikaans,medium,punctual,1133,yes
T021,NB081007-02_A,B,70,approximate,f,2008-10-07,certain,personal narrative,na,all,English/Afrikaans,medium,punctual,993,yes
T022,NC060710-02aA,C,72,approximate,f,2006-07-10,certain,personal narrative,na,all,English/Afrikaans,bad,punctual,583,yes
T023,NC060710-02bA,C,72,approximate,f,2006-07-10,certain,traditional narrative,na,all,English/Afrikaans,bad,punctual,310,yes
T024,NC060710-02cA,C,72,approximate,f,2006-07-10,certain,personal narrative,na,all,English/Afrikaans,bad,punctual,76,yes
T025,NC060710-02dA,C,72,approximate,f,2006-07-10,certain,personal narrative,na,all,English/Afrikaans,bad,punctual,315,yes
T026,NC060715-01bA,C,72,approximate,f,2006-07-15,certain,traditional narrative,na,all,English/Afrikaans,medium,punctual,457,yes
T027,NC080903-01_A,C,74,approximate,f,2008-09-03,certain,personal narrative,na,all,English/Afrikaans,bad,punctual,1243,yes
T028,NM071022-01aA,E/C,75/72,approximate/approximate,f/f,2007-10-22,certain,conversation,na,all,English/Afrikaans,bad,punctual,2163,yes
T029,NM071109-01_A,D/G,70/73,approximate/approximate,f/f,2007-11-09,certain,conversation,na,all,English/Afrikaans,bad,punctual,916,yes
T030,NM071213-01_A,B/I,70/71,approximate/approximate,f/f,2007-12-13,certain,conversation,na,all,English/Afrikaans,bad,punctual,3643,yes
T031,NM071214-01bA,B/I,70/71,approximate/approximate,f/f,2007-12-14,certain,conversation,na,all,English/Afrikaans,bad,punctual,1478,yes
T032,NM071214-01cA,B,70,approximate,f,2007-12-14,certain,personal narrative,na,all,English/Afrikaans,bad,punctual,1588,yes
T033,NM081007-02aA,B,71,approximate,f,2008-10-07,certain,traditional narrative,na,all,English/Afrikaans,medium,punctual,965,yes
