id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,extended
T011,2005ERGstoryWA32_2,WA32,40,approximate,f,2004-04-15,certain,stimulus retelling,monster story,none,English,bad,punctual,230,no
T012,2005ERGstoryWA32_3,WA32,40,approximate,f,2004-04-15,certain,stimulus retelling,monster story,none,English,bad,punctual,230,no
T013,2005ERGstoryWA40_3,WA40,35,approximate,f,2004-04-14,certain,stimulus retelling,monster story,none,English,bad,punctual,60,no
T014,2005ERGstoryWA41_3,WA41,30,approximate,f,2004-04-16,certain,stimulus retelling,monster story,none,English,bad,punctual,99,no
T015,2010ERGstoryNWA01,NWA01,40,approximate,f,2010-03-07,certain,stimulus retelling,monster story,none,English,good,punctual,413,no
T016,2010ERGstoryNWA02,NWA02,40,approximate,f,2010-02-25,certain,stimulus retelling,monster story,none,English,good,punctual,134,no
T017,2010ERGstoryNWA03,NWA03,25,approximate,f,2010-02-28,certain,stimulus retelling,monster story,none,English,good,punctual,261,no
T018,2010ERGstoryNWA04,NWA04,20,approximate,f,2010-02-28,certain,stimulus retelling,monster story,none,English,good,punctual,269,no
T019,2010ERGstoryNWA08,NWA08,60,approximate,f,2010-03-05,certain,stimulus retelling,monster story,none,English,good,punctual,933,no
T020,2010ERGstoryNWA10,NWA10,35,approximate,f,2010-03-10,certain,stimulus retelling,monster story,none,na,good,punctual,290,no
T021,2010ERGstoryWWA02,WWA02,40,approximate,f,2010-04-15,certain,stimulus retelling,monster story,none,English,good,punctual,509,no
T022,2010ERGstoryWWA04,WWA04,25,approximate,f,2010-04-15,certain,stimulus retelling,monster story,none,English,good,punctual,290,no
T023,2010ERGstoryWWA05,WWA05,40,approximate,f,2010-04-15,certain,stimulus retelling,monster story,none,English,good,punctual,893,no
T024,2010ERGstoryWWA06,WWA06,30,approximate,f,2010-04-15,certain,stimulus retelling,monster story,none,English,good,punctual,307,no
T025,2010ERGstoryYWA01,YWA01,30,approximate,f,2010-03-17,certain,stimulus retelling,monster story,none,English,good,punctual,213,no
T026,2010ERGstoryYWA02,YWA02,50,approximate,f,2010-03-12,certain,stimulus retelling,monster story,none,English,good,punctual,492,no
T027,2010ERGstoryYWA03,YWA03,50,approximate,f,2010-03-16,certain,stimulus retelling,monster story,none,English,good,punctual,819,no
T028,2010ERGstoryYWA04,YWA04,30,approximate,f,2010-03-18,certain,stimulus retelling,monster story,none,English,good,punctual,348,no
T029,ERGstoryWA29_1,WA29,40,approximate,f,2004-03-29,certain,stimulus retelling,monster story,none,English,bad,punctual,63,no
T030,ERGstoryWA29_2,WA29,40,approximate,f,2004-03-29,certain,stimulus retelling,monster story,none,English,bad,punctual,72,no
T031,ERGstoryWA29_3,WA29,40,approximate,f,2004-03-29,certain,stimulus retelling,monster story,none,English,bad,punctual,115,no
T032,ERGstoryWA32_1,WA32,40,approximate,f,2004-04-15,certain,stimulus retelling,monster story,none,English,bad,punctual,131,no
